id;id_turma;id_modulo;id_formador;dia;data;h_inicio;h_fim;duracao
342199;4;5410;103;Seg;2025-02-17;09:00;13:00;4
342200;4;5410;103;Seg;2025-02-17;14:00;17:00;3
342201;4;5410;103;Ter;2025-02-18;09:00;13:00;4
342206;4;5410;103;Qui;2025-02-20;09:00;13:00;4
342209;4;5410;103;Sex;2025-02-21;14:00;17:00;3
342210;4;5410;103;Seg;2025-02-24;09:00;13:00;4
342211;4;5410;103;Seg;2025-02-24;14:00;17:00;3
342202;4;5089;101;Ter;2025-02-18;14:00;17:00;3
342204;4;5089;101;Qua;2025-02-19;09:00;13:00;4
342205;4;5089;101;Qua;2025-02-19;14:00;17:00;3
342207;4;5089;101;Qui;2025-02-20;14:00;17:00;3
342208;4;5089;101;Sex;2025-02-21;09:00;13:00;4
342212;4;5086;103;Ter;2025-02-25;09:00;13:00;4
342213;4;5089;101;Ter;2025-02-25;14:00;17:00;3
342214;4;5089;101;Qua;2025-02-26;09:00;13:00;4
342215;4;5089;101;Qua;2025-02-26;14:00;15:00;1
342216;4;5412;101;Qua;2025-02-26;15:00;17:00;2
342217;4;5086;103;Qui;2025-02-27;09:00;13:00;4
342218;4;5412;101;Qui;2025-02-27;14:00;17:00;3
342219;4;5412;101;Sex;2025-02-28;09:00;13:00;4
342220;4;5086;103;Sex;2025-02-28;14:00;17:00;3
342221;4;5086;103;Seg;2025-03-03;09:00;13:00;4
342222;4;5086;103;Seg;2025-03-03;14:00;17:00;3
342813;4;5412;101;Qua;2025-03-05;09:00;13:00;4
342814;4;5412;101;Qua;2025-03-05;14:00;17:00;3
342815;4;5086;103;Qui;2025-03-06;09:00;13:00;4
342816;4;5412;101;Qui;2025-03-06;14:00;17:00;3
342817;4;5412;101;Sex;2025-03-07;09:00;13:00;4
342819;4;5086;103;Sex;2025-03-07;14:00;17:00;3
342820;4;5414;103;Seg;2025-03-10;09:00;13:00;4
342821;4;5414;103;Seg;2025-03-10;14:00;17:00;3
342822;4;5414;103;Ter;2025-03-11;09:00;13:00;4
342823;4;5412;101;Ter;2025-03-11;14:00;17:00;3
342824;4;5412;101;Qua;2025-03-12;09:00;13:00;4
342825;4;5412;101;Qua;2025-03-12;14:00;17:00;3
342826;4;5414;103;Qui;2025-03-13;09:00;13:00;4
342827;4;5412;101;Qui;2025-03-13;14:00;17:00;3
342828;4;5412;101;Sex;2025-03-14;09:00;13:00;4
342829;4;5414;103;Sex;2025-03-14;14:00;17:00;3
342830;4;5414;103;Seg;2025-03-17;09:00;13:00;4
342831;4;5414;103;Seg;2025-03-17;14:00;17:00;3
345335;4;5414;103;Ter;2025-03-18;09:00;13:00;4
345336;4;5412;101;Ter;2025-03-18;14:00;17:00;3
345337;4;5412;101;Qua;2025-03-19;09:00;13:00;4
345338;4;5412;101;Qua;2025-03-19;14:00;17:00;3
345339;4;5414;103;Qui;2025-03-20;09:00;13:00;4
345340;4;5413;101;Qui;2025-03-20;14:00;17:00;3
345341;4;5413;101;Sex;2025-03-21;09:00;13:00;4
345342;4;5414;103;Sex;2025-03-21;14:00;17:00;3
345343;4;5414;103;Seg;2025-03-24;09:00;13:00;4
345344;4;5414;103;Seg;2025-03-24;14:00;17:00;3
345345;4;5414;103;Ter;2025-03-25;09:00;13:00;4
342879;4;5409;101;Ter;2025-03-25;14:00;17:00;3
345346;4;5413;101;Qua;2025-03-26;09:00;13:00;4
345347;4;5413;101;Qua;2025-03-26;14:00;17:00;3
345348;4;5092;103;Qui;2025-03-27;09:00;13:00;4
342880;4;5409;101;Qui;2025-03-27;14:00;17:00;3
345349;4;5413;101;Sex;2025-03-28;09:00;13:00;4
345350;4;5414;103;Sex;2025-03-28;14:00;17:00;3
345351;4;5092;103;Seg;2025-03-31;09:00;13:00;4
345352;4;5092;103;Seg;2025-03-31;14:00;17:00;3
345353;4;5092;103;Ter;2025-04-01;09:00;13:00;4
342881;4;5409;101;Ter;2025-04-01;14:00;17:00;3
345354;4;5413;101;Qua;2025-04-02;09:00;13:00;4
345355;4;5413;101;Qua;2025-04-02;14:00;17:00;3
345356;4;5092;103;Qui;2025-04-03;09:00;13:00;4
342882;4;5409;101;Qui;2025-04-03;14:00;17:00;3
345357;4;5413;101;Sex;2025-04-04;09:00;13:00;4
345358;4;5092;103;Sex;2025-04-04;14:00;17:00;3
345359;4;5092;103;Seg;2025-04-07;09:00;12:00;3
345360;4;5087;103;Seg;2025-04-07;12:00;13:00;1
345361;4;5087;103;Seg;2025-04-07;14:00;17:00;3
345362;4;5087;103;Ter;2025-04-08;09:00;13:00;4
342898;4;5409;101;Ter;2025-04-08;14:00;17:00;3
345363;4;5413;101;Qua;2025-04-09;09:00;13:00;4
345364;4;5413;101;Qua;2025-04-09;14:00;17:00;3
345365;4;5087;103;Qui;2025-04-10;09:00;13:00;4
342899;4;5409;101;Qui;2025-04-10;14:00;17:00;3
345366;4;5413;101;Sex;2025-04-11;09:00;13:00;4
345367;4;5087;103;Sex;2025-04-11;14:00;17:00;3
345368;4;5087;103;Seg;2025-04-14;09:00;13:00;4
345369;4;5087;103;Seg;2025-04-14;14:00;17:00;3
345370;4;5087;103;Ter;2025-04-15;09:00;12:00;3
345371;4;5417;103;Ter;2025-04-15;12:00;13:00;1
342900;4;5409;101;Ter;2025-04-15;14:00;17:00;3
342901;4;5409;101;Qua;2025-04-16;09:00;13:00;4
345372;4;8599;105;Qua;2025-04-16;14:00;17:00;3
345373;4;5417;103;Qui;2025-04-17;09:00;13:00;4
345374;4;5413;101;Qui;2025-04-17;14:00;17:00;3
345375;4;5417;103;Ter;2025-04-22;09:00;13:00;4
345376;4;5413;101;Ter;2025-04-22;14:00;17:00;3
345377;4;5413;101;Qua;2025-04-23;09:00;13:00;4
345378;4;8599;105;Qua;2025-04-23;14:00;17:00;3
345379;4;5417;103;Qui;2025-04-24;09:00;13:00;4
345380;4;5423;101;Qui;2025-04-24;14:00;17:00;3
345381;4;5417;103;Seg;2025-04-28;09:00;13:00;4
345382;4;5417;103;Seg;2025-04-28;14:00;17:00;3
345383;4;5417;103;Ter;2025-04-29;09:00;13:00;4
345384;4;6404;104;Ter;2025-04-29;14:00;17:00;3
345385;4;5423;101;Qua;2025-04-30;09:00;13:00;4
345386;4;8599;105;Qua;2025-04-30;14:00;17:00;3
345387;4;5420;102;Sex;2025-05-02;09:00;13:00;4
345388;4;5417;103;Sex;2025-05-02;14:00;17:00;3
348243;4;5417;103;Seg;2025-05-05;09:00;13:00;4
348244;4;5417;103;Seg;2025-05-05;14:00;17:00;3
348246;4;5417;103;Ter;2025-05-06;09:00;13:00;4
348248;4;6404;104;Ter;2025-05-06;14:00;17:00;3
348249;4;5420;102;Qua;2025-05-07;09:00;13:00;4
348250;4;8599;105;Qua;2025-05-07;14:00;17:00;3
348251;4;5423;101;Qui;2025-05-08;09:00;13:00;4
348252;4;5417;103;Qui;2025-05-08;14:00;17:00;3
348256;4;5420;102;Sex;2025-05-09;09:00;13:00;4
348260;4;5417;103;Sex;2025-05-09;14:00;17:00;3
348264;4;5423;101;Seg;2025-05-12;09:00;13:00;4
348267;4;5417;103;Seg;2025-05-12;14:00;17:00;3
348274;4;6404;104;Ter;2025-05-13;09:00;13:00;4
348276;4;5423;101;Ter;2025-05-13;14:00;17:00;3
348279;4;5420;102;Qua;2025-05-14;09:00;13:00;4
348283;4;8599;105;Qua;2025-05-14;14:00;17:00;3
348287;4;5423;101;Qui;2025-05-15;09:00;13:00;4
348289;4;5420;102;Qui;2025-05-15;14:00;17:00;3
348294;4;5420;102;Sex;2025-05-16;09:00;13:00;4
348295;4;5417;103;Sex;2025-05-16;14:00;17:00;3
348296;4;5423;101;Seg;2025-05-19;09:00;13:00;4
348297;4;5420;102;Seg;2025-05-19;14:00;16:00;2
348346;4;5421;102;Seg;2025-05-19;16:00;17:00;1
348298;4;6404;104;Ter;2025-05-20;09:00;13:00;4
348299;4;5423;101;Ter;2025-05-20;14:00;17:00;3
348300;4;5423;101;Qua;2025-05-21;09:00;13:00;4
348301;4;8599;105;Qua;2025-05-21;14:00;17:00;3
348303;4;5421;102;Qui;2025-05-22;09:00;13:00;4
348305;4;5423;101;Qui;2025-05-22;14:00;17:00;3
348310;4;5423;101;Sex;2025-05-23;09:00;13:00;4
348311;4;5421;102;Sex;2025-05-23;14:00;17:00;3
348485;4;5423;101;Seg;2025-05-26;09:00;13:00;4
348486;4;5421;102;Seg;2025-05-26;14:00;17:00;3
348487;4;6404;104;Ter;2025-05-27;09:00;13:00;4
348488;4;5423;101;Ter;2025-05-27;14:00;17:00;3
348489;4;5088;101;Qua;2025-05-28;09:00;13:00;4
348490;4;8599;105;Qua;2025-05-28;14:00;17:00;3
